4:23 PM - Race #158 - D-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Noa PICHÉ,Otterburn,2:03.324,0:00.000
2,7,Konstantine ARMSTRONG,Maskwa,2:07.357,0:04.033
3,5,Najib BITAR,Maskwa,2:07.841,0:04.517
4,8,Zachary SMITH,Fort,2:08.679,0:05.355
5,9,Émile RAYMOND,Otterburn,2:08.924,0:05.600
6,4,Christophe DESROCHERS,Lac-Beauport,2:08.979,0:05.655
7,3,Hunter MACK,Balmy Beach,2:10.591,0:07.267
8,2,Logan GRIMSRUD,Rideau,2:12.385,0:09.061
9,1,Diego PADRON-CORBEIL,Pointe-Claire,2:15.002,0:11.678
