9:00 Course n° 12 Samedi 24 mai Éliminatoire1,col_1,col_2,col_3
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Elizabeth Desrosiers-Mcarthur,1,"53,23"
4,Otterburn 4 Léanne Castonguay,2,"56,47"
6,Lac-Beauport 5 Léia Stephenson,3,"57,05"
3,Cascade 8 Florence Gauthier,4,"1:00,65"
7,Trois-Rivières 9 Maeva Emond,5,"1:01,06"
2,Lac-Beauport 11 Nora Maëlie Turcote,6,"1:04,14"
1,,,
8,,,
9,,,
9:05 Course n° 13 Samedi 24 mai Éliminatoire2,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Otterburn 2 Amélie Laliberté,1,"52,88"
4,Lac-Beauport 3 Charlotte Désy,2,"54,33"
6,Lac-Beauport 6 Alexia Gagnon,3,"54,35"
7,Lac-Beauport 10 Maya Noël,4,"58,76"
3,Trois-Rivières 7 Flavie Martin,5,"1:00,88"
1,,,
2,,,
8,,,
9,,,
Femmes K-1 200m,,,
