4:56 PM - Race #79 - D-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Lyla BOYCHUK,Banook,2:13.789,0:00.000
2,6,Ellena KOZUSKANICH,Mic Mac,2:15.059,0:01.270
3,4,Beatrice OGER,Rideau,2:15.904,0:02.115
4,8,Catherine NORMAN,Mic Mac,2:16.680,0:02.891
5,2,Megan CHAMPAGNE,Sherbrooke,2:16.887,0:03.098
6,9,Charlie LECLERC,Sherbrooke,2:17.054,0:03.265
7,1,Anika DU PLOOY,Maskwa,2:17.812,0:04.023
8,3,Amalia JORDAN,Calgary,2:18.243,0:04.454
9,7,Natalie MCQUAY,Mississauga,2:19.094,0:05.305
