5:35 PM - Race #176 - D-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Megan CHAMPAGNE,Sherbrooke,2:13.707,0:00.000
2,5,Anika DU PLOOY,Maskwa,2:14.040,0:00.333
3,3,Beatrice OGER,Rideau,2:15.340,0:01.633
4,7,Charlie LECLERC,Sherbrooke,2:16.290,0:02.583
5,4,Catherine NORMAN,Mic Mac,2:16.773,0:03.066
6,1,Margaux LOYER,Lac-Beauport,2:17.096,0:03.389
7,2,Alison NGUYEN,Rideau,2:17.546,0:03.839
8,8,Natalie MCQUAY,Mississauga,2:18.957,0:05.250
9,9,Daphnée CHAMPAGNE,Sherbrooke,2:19.046,0:05.339
