8:20 AM - Race #223 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,"Anais LAPOINTE, Maika ST-YVES",Trois Rivieres,0:42.990,0:00.000
2,7,"Marie CHAMBERLAND, Margaux LOYER",Lac-Beauport,0:43.823,0:00.833
3,6,"Anna ARCHIBALD, Cadence WHYNACHT",Banook,0:44.101,0:01.111
4,8,"Megan CHAMPAGNE, Victoria LAVALLÉE-LATOUR",Sherbrooke,0:44.868,0:01.878
5,1,"Norah LEGGE, Olivia MURPHY",Banook,0:45.095,0:02.105
6,9,"Maura MACUMBER, Jenna WILE",Maskwa,0:45.173,0:02.183
7,5,"Gaelle BOUSQUET, Emilee VATERS",Maskwa,0:45.551,0:02.561
8,2,"Malya GAGNON, Megan STRACHAN",Rideau,0:47.145,0:04.155
DNF,4,"Sabrina TYRRELL, Emily ZHUANG",Burloak,0:00.000,0:00.000
