8:00 AM - Race #108 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Léanne CASTONGUAY, Amelie LALIBERTE",Otterburn,0:46.125,0:00.000
2,2,"Alexia GAGNON, Leia STEPHENSON",Lac-Beauport,0:48.075,0:01.950
3,5,"Abby CHARLESWORTH, Veronica SO",Fort,0:48.875,0:02.750
4,9,"Emma-Rose NADEAU, Maïka NADEAU",Lac-Beauport,0:49.475,0:03.350
5,8,"Kaelynn ROCHEFORT, Amanda WALKER",Saskatoon,0:53.542,0:07.417
6,7,"Emily MACKENZIE, Ayaka SUGAWARA",Maskwa,0:54.686,0:08.561
7,3,"Naya ARORA, Arabella HOLTZMAN",Rideau,0:55.919,0:09.794
8,4,"Violet ENNS, Faith SIDLOSKI",Toba,0:58.714,0:12.589
