13:18 Course n° 3 Samedi 24 mai Éliminatoire1,col_1,col_2,col_3
Couloir,Club rang Équipage,Résultats,
5,Lachine 1 Alina Tverie,1,"2:11,82"
4,Trois-Rivières 4 Mathilde Patry,2,"2:12,43"
6,Lachine 5 Calina Bidal,3,"2:14,31"
2,Sherbrooke 9 Victoria Lavallée-Latour,4,"2:19,29"
8,Lac-Beauport 13 Margaux Loyer,5,"2:20,48"
3,Sherbrooke 11 Megan Champagne,6,"2:21,48"
7,Lachine 10 Clara Blanchette,7,"2:21,90"
1,,,
9,,,
13:26 Course n° 4 Samedi 24 mai Éliminatoire2,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lachine 2 Florence Hamel,1,"2:13,52"
4,Lac-Beauport 3 Marie Chamberland,2,"2:15,19"
2,Trois-Rivières 8 Anaïs Lapointe,3,"2:15,36"
6,Lachine 7 Ariane Loisel,4,"2:17,55"
7,Trois-Rivières 12 Maïka St-Yves,5,"2:24,26"
3,Lachine 6 Béatrice charbonneau-Morin,6,"2:25,73"
1,Lac-Beauport 15 Flavie Langlois,7,"2:31,52"
8,Cascade 14 Mia Zahab,8,"2:31,59"
9,,,
