13:36 Course n° 5 Samedi 24 mai Éliminatoire1,col_1,col_2,col_3
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Raphaël Côté,1,"1:53,86"
6,Cascade 7 Leo Carmichael,2,"1:56,34"
4,Trois-Rivières 6 Thomas Lessard,3,"1:58,37"
3,Lac-Beauport 12 Louis Enzo Roy,4,"1:58,60"
9,Lac-Beauport 25 Xavier Hébert,5,"1:58,61"
7,Otterburn 13 Arthur Moreau,6,"2:01,06"
2,Trois-Rivières 18 Félix Albert,7,"2:02,91"
8,Lac-Beauport 19 Tremblay Zachary,8,"2:04,95"
1,Pointe-Claire 24 Marcelo De Andrade,9,"2:09,19"
13:44 Course n° 6 Samedi 24 mai Éliminatoire2,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 2 Thomas Sinotte,1,"1:53,74"
6,Pointe-Claire 8 Émile Paquette,2,"1:55,09"
4,Trois-Rivières 5 Jérémy Pelletier,3,"1:57,58"
7,Otterburn 14 Jacob Lévesque,4,"1:58,73"
8,Lac-Beauport 20 Jonathan Pigeon,5,"1:59,11"
2,Lac-Beauport 17 Léo Roy,6,"2:01,67"
1,Lachine 23 Rémi Loisel,7,"2:04,61"
3,Lachine 11 Zachari Sauvé,8,"2:04,72"
9,,,
13:52 Course n° 7 Samedi 24 mai Éliminatoire3,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Pointe-Claire 3 Cedric Liu,1,"1:56,10"
3,Lac-Beauport 10 Hemrick Leclerc,2,"1:56,30"
7,Trois-Rivières 15 Olivier Tremblay,3,"1:58,14"
4,Pointe-Claire 4 Vladimir Demishkevich,4,"1:59,52"
8,Lac-Beauport 21 Viktor Girard,5,"2:00,83"
1,Trois-Rivières 22 Benjamin Pelletier,6,"2:04,64"
2,Lac-Beauport 16 Julien Pommerleau,7,"2:04,75"
6,Lachine 9 Laurent Rouleau,8,"2:04,85"
9,,,
